SaleReceiptNo,Saledate,InvCode,NoSold,InvDesc,InvPrice,InvCost,TotalSales,TotalCost
R00673,2025-11-19,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00674,2025-08-26,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00675,2025-10-23,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00676,2025-12-13,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00677,2025-08-23,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00678,2025-04-19,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00679,2025-05-26,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00680,2025-11-15,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00681,2025-05-15,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00682,2025-08-02,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00683,2025-09-13,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00684,2025-12-29,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00685,2025-01-27,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00686,2025-05-04,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00687,2025-07-12,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00688,2025-06-22,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00689,2025-03-29,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00690,2025-01-02,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00691,2025-08-31,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00692,2025-12-17,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00693,2025-04-22,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00694,2025-09-10,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00695,2025-10-02,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00696,2025-06-05,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00697,2025-02-08,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00698,2025-05-16,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00699,2025-11-22,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00700,2025-05-07,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00701,2025-02-17,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00702,2025-03-25,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00703,2025-01-08,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00704,2025-06-09,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00705,2025-04-25,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00706,2025-03-17,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00707,2025-11-07,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00708,2025-02-12,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00709,2025-03-25,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00710,2025-11-30,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00711,2025-10-08,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00712,2025-10-22,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00713,2025-05-19,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00714,2025-10-27,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00715,2025-12-07,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00716,2025-08-24,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00717,2025-08-08,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00718,2025-11-26,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00719,2025-02-18,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00720,2025-06-24,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00721,2025-08-06,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00722,2025-05-19,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00723,2025-12-02,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00724,2025-09-04,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00725,2025-12-15,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00726,2025-08-19,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00727,2025-01-21,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00728,2025-11-29,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00729,2025-09-16,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00730,2025-05-20,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00731,2025-08-15,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00732,2025-06-19,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00733,2025-01-16,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00734,2025-08-02,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00735,2025-10-10,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00736,2025-02-11,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00737,2025-03-23,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00738,2025-07-24,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00739,2025-09-24,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00740,2025-12-22,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00741,2025-03-31,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00742,2025-10-30,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00743,2025-07-09,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00744,2025-12-08,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00745,2025-11-03,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00746,2025-05-09,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00747,2025-12-05,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00748,2025-10-31,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00749,2025-03-14,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00750,2025-03-07,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00751,2025-03-25,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00752,2025-02-03,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00753,2025-03-14,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00754,2025-11-09,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00755,2025-08-20,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00756,2025-12-02,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00757,2025-02-09,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00758,2025-08-23,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00759,2025-07-08,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00760,2025-08-05,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00761,2025-07-01,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00762,2025-01-11,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00763,2025-09-16,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00764,2025-01-27,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00765,2025-09-06,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00766,2025-02-19,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00767,2025-03-25,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00768,2025-09-03,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00769,2025-05-18,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00770,2025-08-07,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00771,2025-11-28,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00772,2025-02-19,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00773,2025-04-23,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00774,2025-12-13,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00775,2025-08-27,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00776,2025-01-03,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00777,2025-06-20,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00778,2025-12-28,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00779,2025-05-01,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00780,2025-01-09,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00781,2025-12-14,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00782,2025-05-25,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00783,2025-05-08,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00784,2025-08-06,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00785,2025-10-17,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00786,2025-06-08,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00787,2025-11-08,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00788,2025-06-16,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00789,2025-04-05,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00790,2025-08-20,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00791,2025-06-09,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00792,2025-10-05,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00793,2025-03-19,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00794,2025-08-18,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00795,2025-04-25,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00796,2025-08-13,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00797,2025-04-24,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00798,2025-05-01,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00799,2025-11-06,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00800,2025-03-12,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00801,2025-12-09,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00802,2025-09-17,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00803,2025-01-21,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00804,2025-08-25,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00805,2025-07-23,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00806,2025-08-09,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00807,2025-02-25,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00808,2025-02-08,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00809,2025-07-18,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00810,2025-08-16,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00811,2025-03-16,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00812,2025-02-05,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00813,2025-07-21,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00814,2025-01-14,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00815,2025-04-16,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00816,2025-05-01,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00817,2025-10-02,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00818,2025-02-01,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00819,2025-09-17,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00820,2025-11-29,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00821,2025-11-28,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00822,2025-11-15,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00823,2025-07-05,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00824,2025-07-04,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00825,2025-01-22,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00826,2025-08-30,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00827,2025-10-30,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00828,2025-12-28,INV103,3,Styling Gel,12.0,5.5,36.0,16.5
R00829,2025-04-03,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00830,2025-10-29,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00831,2025-02-28,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00832,2025-04-11,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00833,2025-03-21,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00834,2025-11-30,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00835,2025-08-23,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00836,2025-02-05,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00837,2025-10-01,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00838,2025-04-29,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00839,2025-12-24,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00840,2025-01-28,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00841,2025-09-15,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00842,2025-05-08,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00843,2025-02-05,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00844,2025-02-22,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00845,2025-07-21,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00846,2025-12-28,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00847,2025-09-14,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00848,2025-04-07,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00849,2025-10-27,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00850,2025-08-15,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00851,2025-06-06,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00852,2025-10-05,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00853,2025-04-10,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00854,2025-12-28,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00855,2025-04-12,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00856,2025-06-15,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00857,2025-01-13,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00858,2025-01-28,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00859,2025-05-11,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00860,2025-04-15,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00861,2025-12-04,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00862,2025-12-07,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00863,2025-12-13,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00864,2025-04-13,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00865,2025-11-18,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00866,2025-03-29,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00867,2025-06-17,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00868,2025-02-20,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00869,2025-05-23,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00870,2025-02-15,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00871,2025-01-18,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00872,2025-03-25,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00873,2025-06-30,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00874,2025-06-18,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00875,2025-11-03,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00876,2025-10-22,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00877,2025-06-29,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00878,2025-10-13,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00879,2025-06-15,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00880,2025-03-15,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00881,2025-12-18,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00882,2025-03-31,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00883,2025-09-06,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00884,2025-11-14,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00885,2025-06-17,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00886,2025-08-21,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00887,2025-12-24,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00888,2025-09-06,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00889,2025-02-14,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00890,2025-07-05,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00891,2025-08-19,INV103,2,Styling Gel,12.0,5.5,24.0,11.0
R00892,2025-08-31,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00893,2025-08-13,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00894,2025-06-05,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00895,2025-02-26,INV105,3,Hair Dryer,85.0,50.0,255.0,150.0
R00896,2025-08-24,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00897,2025-01-17,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00898,2025-10-04,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00899,2025-12-23,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00900,2025-06-30,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00901,2025-06-04,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00902,2025-04-16,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00903,2025-10-23,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00904,2025-08-22,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00905,2025-03-21,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00906,2025-04-26,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00907,2025-03-20,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00908,2025-11-19,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00909,2025-07-25,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00910,2025-10-31,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00911,2025-04-30,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00912,2025-04-04,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00913,2025-12-29,INV101,4,Moisturizing Shampoo,15.0,8.0,60.0,32.0
R00914,2025-07-08,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00915,2025-11-16,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00916,2025-07-12,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00917,2025-01-08,INV102,3,Deep Conditioner,18.0,9.5,54.0,28.5
R00918,2025-12-17,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00919,2025-01-08,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00920,2025-06-15,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00921,2025-06-07,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00922,2025-05-01,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00923,2025-08-10,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00924,2025-01-28,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00925,2025-04-17,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00926,2025-07-31,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00927,2025-10-27,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00928,2025-04-29,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00929,2025-07-22,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00930,2025-12-30,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00931,2025-09-04,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00932,2025-03-12,INV107,4,Hair Clips,5.0,1.5,20.0,6.0
R00933,2025-11-22,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00934,2025-11-20,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00935,2025-05-26,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00936,2025-02-14,INV107,1,Hair Clips,5.0,1.5,5.0,1.5
R00937,2025-09-28,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00938,2025-02-22,INV102,1,Deep Conditioner,18.0,9.5,18.0,9.5
R00939,2025-07-05,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00940,2025-07-11,INV107,2,Hair Clips,5.0,1.5,10.0,3.0
R00941,2025-02-15,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00942,2025-09-01,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00943,2025-07-12,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00944,2025-03-03,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00945,2025-07-24,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00946,2025-02-14,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00947,2025-12-26,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00948,2025-04-11,INV104,4,Professional Scissors,45.0,22.0,180.0,88.0
R00949,2025-04-25,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00950,2025-09-18,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00951,2025-11-14,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00952,2025-03-24,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00953,2025-07-24,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00954,2025-06-02,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00955,2025-04-19,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00956,2025-07-27,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00957,2025-11-09,INV104,2,Professional Scissors,45.0,22.0,90.0,44.0
R00958,2025-12-12,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R00959,2025-11-21,INV107,3,Hair Clips,5.0,1.5,15.0,4.5
R00960,2025-06-24,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00961,2025-02-08,INV106,1,Curling Iron,65.0,35.0,65.0,35.0
R00962,2025-11-11,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00963,2025-09-22,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00964,2025-10-22,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00965,2025-02-02,INV105,5,Hair Dryer,85.0,50.0,425.0,250.0
R00966,2025-07-08,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00967,2025-12-06,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00968,2025-04-16,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00969,2025-11-03,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00970,2025-08-24,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00971,2025-03-04,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00972,2025-05-10,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00973,2025-06-04,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00974,2025-03-12,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00975,2025-05-02,INV104,3,Professional Scissors,45.0,22.0,135.0,66.0
R00976,2025-09-08,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
R00977,2025-11-06,INV103,4,Styling Gel,12.0,5.5,48.0,22.0
R00978,2025-09-10,INV102,4,Deep Conditioner,18.0,9.5,72.0,38.0
R00979,2025-08-09,INV106,2,Curling Iron,65.0,35.0,130.0,70.0
R00980,2025-10-04,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00981,2025-05-03,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00982,2025-01-27,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00983,2025-02-16,INV103,1,Styling Gel,12.0,5.5,12.0,5.5
R00984,2025-03-10,INV105,1,Hair Dryer,85.0,50.0,85.0,50.0
R00985,2025-11-30,INV107,5,Hair Clips,5.0,1.5,25.0,7.5
R00986,2025-07-07,INV106,3,Curling Iron,65.0,35.0,195.0,105.0
R00987,2025-08-24,INV103,5,Styling Gel,12.0,5.5,60.0,27.5
R00988,2025-11-24,INV101,3,Moisturizing Shampoo,15.0,8.0,45.0,24.0
R00989,2025-09-05,INV105,2,Hair Dryer,85.0,50.0,170.0,100.0
R00990,2025-01-23,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00991,2025-03-09,INV104,5,Professional Scissors,45.0,22.0,225.0,110.0
R00992,2025-08-03,INV101,5,Moisturizing Shampoo,15.0,8.0,75.0,40.0
R00993,2025-07-06,INV102,5,Deep Conditioner,18.0,9.5,90.0,47.5
R00994,2025-06-18,INV106,4,Curling Iron,65.0,35.0,260.0,140.0
R00995,2025-01-12,INV101,1,Moisturizing Shampoo,15.0,8.0,15.0,8.0
R00996,2025-06-19,INV101,2,Moisturizing Shampoo,15.0,8.0,30.0,16.0
R00997,2025-11-05,INV104,1,Professional Scissors,45.0,22.0,45.0,22.0
R00998,2025-06-06,INV102,2,Deep Conditioner,18.0,9.5,36.0,19.0
R00999,2025-09-24,INV106,5,Curling Iron,65.0,35.0,325.0,175.0
R01000,2025-02-01,INV105,4,Hair Dryer,85.0,50.0,340.0,200.0
