InvoiceNO,InvoiceAmt,ShipDate,InvoiceDate,VendorID,VendorName,ProductID,UnitCost,ShipCost,FlatDuty,TariffAmt,ShipLocation,QualityRate,PaymentTerms,ShipTerms,PayAddress,PONumber,PODate,ReceivingNumber,ReceivingDate,QtyReceived,QtyPurchased,QtyInvoice,Approved
INV00235,139734.4,2025-01-16,2025-01-16,V103,Euro Wheels,PROD383,279.07,230.21,25.0,6641.87,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0235,2025-01-05,REC00235,2025-01-21,476,476,476,Yes
INV00236,148440.38,2025-06-26,2025-06-26,V104,China Auto,PROD416,329.87,171.8,25.0,7059.22,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0236,2025-06-15,REC00236,2025-07-01,428,428,428,No
INV00237,101686.83,2025-08-31,2025-08-31,V103,Euro Wheels,PROD113,497.9,239.6,25.0,4829.63,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0237,2025-08-17,REC00237,2025-09-04,194,194,194,No
INV00238,25515.2,2025-08-12,2025-08-12,V104,China Auto,PROD933,121.09,61.3,25.0,1210.9,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0238,2025-08-06,REC00238,2025-08-16,200,200,200,No
INV00239,7152.3,2025-02-10,2025-02-10,V102,Asia Motors,PROD579,49.54,313.07,25.0,324.49,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0239,2025-02-05,REC00239,2025-02-17,131,131,131,No
INV00240,6310.86,2025-09-25,2025-09-25,V103,Euro Wheels,PROD985,30.83,491.36,25.0,275.93,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0240,2025-09-15,REC00240,2025-09-29,179,179,179,Yes
INV00241,14606.19,2025-10-31,2025-10-31,V101,Global Tech Parts,PROD734,40.61,189.64,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0241,2025-10-17,REC00241,2025-11-04,355,355,355,No
INV00242,75093.44,2025-04-12,2025-04-12,V104,China Auto,PROD754,178.88,314.49,25.0,3559.71,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0242,2025-03-31,REC00242,2025-04-16,398,398,398,No
INV00243,69087.88,2025-08-17,2025-08-17,V104,China Auto,PROD295,441.76,413.38,25.0,3269.02,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0243,2025-08-09,REC00243,2025-08-20,148,148,148,Yes
INV00244,6060.36,2025-02-12,2025-02-12,V102,Asia Motors,PROD467,19.52,316.98,25.0,272.3,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0244,2025-02-05,REC00244,2025-02-15,279,279,279,No
INV00245,76799.41,2025-07-07,2025-07-07,V103,Euro Wheels,PROD338,193.54,364.82,25.0,3638.55,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0245,2025-06-26,REC00245,2025-07-10,376,376,376,No
INV00246,56221.08,2025-02-02,2025-02-02,V101,Global Tech Parts,PROD691,189.52,312.68,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0246,2025-01-24,REC00246,2025-02-05,295,295,295,No
INV00247,99147.83,2025-08-12,2025-08-12,V102,Asia Motors,PROD504,328.2,219.76,25.0,4709.67,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0247,2025-08-07,REC00247,2025-08-19,287,287,287,Yes
INV00248,53581.44,2025-02-08,2025-02-08,V104,China Auto,PROD628,159.43,322.76,25.0,2534.94,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0248,2025-01-29,REC00248,2025-02-15,318,318,318,Yes
INV00249,26063.49,2025-07-21,2025-07-21,V104,China Auto,PROD617,242.81,288.49,25.0,1226.19,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0249,2025-07-07,REC00249,2025-07-28,101,101,101,Yes
INV00250,154640.18,2025-08-16,2025-08-16,V101,Global Tech Parts,PROD284,476.99,95.42,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0250,2025-08-08,REC00250,2025-08-23,324,324,324,Yes
INV00251,78360.33,2025-03-19,2025-03-19,V101,Global Tech Parts,PROD794,240.61,402.69,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0251,2025-03-09,REC00251,2025-03-25,324,324,324,Yes
INV00252,41668.28,2025-05-07,2025-05-07,V102,Asia Motors,PROD434,286.76,392.85,25.0,1964.31,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0252,2025-04-25,REC00252,2025-05-13,137,137,137,Yes
INV00253,122953.02,2025-12-19,2025-12-19,V104,China Auto,PROD579,379.36,243.0,25.0,5842.14,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0253,2025-12-07,REC00253,2025-12-26,308,308,308,Yes
INV00254,11977.68,2025-11-20,2025-11-20,V101,Global Tech Parts,PROD166,40.68,139.8,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0254,2025-11-10,REC00254,2025-11-24,291,291,291,No
INV00255,19605.1,2025-12-31,2025-12-31,V104,China Auto,PROD211,106.43,135.34,25.0,925.94,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0255,2025-12-23,REC00255,2026-01-07,174,174,174,No
INV00256,46513.1,2025-02-15,2025-02-15,V101,Global Tech Parts,PROD501,140.2,247.1,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0256,2025-02-07,REC00256,2025-02-19,330,330,330,Yes
INV00257,40542.58,2025-09-07,2025-09-07,V103,Euro Wheels,PROD464,382.05,402.33,25.0,1910.25,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0257,2025-08-24,REC00257,2025-09-11,100,100,100,Yes
INV00258,183458.85,2025-12-04,2025-12-04,V101,Global Tech Parts,PROD444,393.05,297.55,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0258,2025-11-22,REC00258,2025-12-11,466,466,466,Yes
INV00259,35069.76,2025-03-19,2025-03-19,V101,Global Tech Parts,PROD475,246.34,335.82,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0259,2025-03-12,REC00259,2025-03-26,141,141,141,Yes
INV00260,44679.08,2025-04-24,2025-04-24,V103,Euro Wheels,PROD473,275.32,423.92,25.0,2106.2,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0260,2025-04-15,REC00260,2025-04-30,153,153,153,Yes
INV00261,59965.44,2025-08-02,2025-08-02,V102,Asia Motors,PROD204,129.92,53.82,25.0,2851.74,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0261,2025-07-28,REC00261,2025-08-06,439,439,439,No
INV00262,40633.2,2025-03-28,2025-03-28,V104,China Auto,PROD952,451.77,287.73,25.0,1920.02,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0262,2025-03-18,REC00262,2025-04-03,85,85,85,No
INV00263,24908.0,2026-01-04,2026-01-04,V102,Asia Motors,PROD182,125.91,160.57,25.0,1177.26,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0263,2025-12-28,REC00263,2026-01-10,187,187,187,Yes
INV00264,21337.55,2025-04-05,2025-04-05,V103,Euro Wheels,PROD815,132.19,76.23,25.0,1011.25,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0264,2025-03-30,REC00264,2025-04-08,153,153,153,Yes
INV00265,2763.53,2025-01-19,2025-01-19,V101,Global Tech Parts,PROD552,267.93,84.23,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0265,2025-01-05,REC00265,2025-01-23,10,10,10,Yes
INV00266,41741.29,2025-11-14,2025-11-14,V103,Euro Wheels,PROD486,158.82,359.56,25.0,1969.37,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0266,2025-11-01,REC00266,2025-11-21,248,248,248,Yes
INV00267,3562.42,2025-08-09,2025-08-09,V101,Global Tech Parts,PROD804,141.77,159.94,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0267,2025-08-02,REC00267,2025-08-11,24,24,24,No
INV00268,79139.1,2025-07-31,2025-07-31,V103,Euro Wheels,PROD841,229.3,143.18,25.0,3760.52,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0268,2025-07-16,REC00268,2025-08-02,328,328,328,No
INV00269,25965.98,2025-01-11,2025-01-11,V101,Global Tech Parts,PROD399,208.82,489.94,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0269,2025-01-01,REC00269,2025-01-13,122,122,122,Yes
INV00270,127521.09,2025-02-02,2025-02-02,V103,Euro Wheels,PROD299,333.44,405.43,25.0,6051.94,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0270,2025-01-18,REC00270,2025-02-04,363,363,363,Yes
INV00271,141735.54,2025-05-18,2025-05-18,V102,Asia Motors,PROD672,401.39,100.15,25.0,6743.35,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0271,2025-05-12,REC00271,2025-05-24,336,336,336,Yes
INV00272,83352.25,2025-11-15,2025-11-15,V103,Euro Wheels,PROD605,493.26,459.57,25.0,3946.08,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0272,2025-11-09,REC00272,2025-11-21,160,160,160,Yes
INV00273,31261.81,2025-04-27,2025-04-27,V102,Asia Motors,PROD165,70.76,105.95,25.0,1482.42,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0273,2025-04-14,REC00273,2025-04-29,419,419,419,No
INV00274,177833.57,2025-08-18,2025-08-18,V103,Euro Wheels,PROD405,462.38,115.94,25.0,8461.55,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0274,2025-08-08,REC00274,2025-08-25,366,366,366,Yes
INV00275,47768.66,2025-12-24,2025-12-24,V104,China Auto,PROD283,131.08,122.3,25.0,2267.68,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0275,2025-12-09,REC00275,2025-12-28,346,346,346,Yes
INV00276,109525.99,2025-02-07,2025-02-07,V104,China Auto,PROD597,346.18,454.29,25.0,5192.7,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0276,2025-01-26,REC00276,2025-02-14,300,300,300,Yes
INV00277,176904.35,2025-05-19,2025-05-19,V104,China Auto,PROD488,390.33,235.51,25.0,8411.61,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0277,2025-05-06,REC00277,2025-05-21,431,431,431,Yes
INV00278,98978.82,2025-05-11,2025-05-11,V101,Global Tech Parts,PROD315,272.25,152.07,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0278,2025-05-01,REC00278,2025-05-14,363,363,363,Yes
INV00279,128333.84,2025-03-29,2025-03-29,V103,Euro Wheels,PROD805,475.54,483.69,25.0,6086.91,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0279,2025-03-17,REC00279,2025-04-05,256,256,256,No
INV00280,142687.28,2025-04-10,2025-04-10,V102,Asia Motors,PROD561,327.11,124.1,25.0,6787.53,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0280,2025-03-28,REC00280,2025-04-13,415,415,415,Yes
INV00281,213858.56,2025-12-29,2025-12-29,V104,China Auto,PROD651,437.74,107.0,25.0,10177.46,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0281,2025-12-22,REC00281,2026-01-03,465,465,465,No
INV00282,50394.89,2025-07-13,2025-07-13,V103,Euro Wheels,PROD728,129.53,183.49,25.0,2389.83,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0282,2025-07-03,REC00282,2025-07-15,369,369,369,Yes
INV00283,59753.8,2025-05-23,2025-05-23,V103,Euro Wheels,PROD704,265.09,163.08,25.0,2836.46,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0283,2025-05-17,REC00283,2025-05-26,214,214,214,No
INV00284,230726.04,2025-01-21,2025-01-21,V102,Asia Motors,PROD214,447.96,225.62,25.0,10975.02,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0284,2025-01-08,REC00284,2025-01-25,490,490,490,No
INV00285,29907.12,2025-08-12,2025-08-12,V104,China Auto,PROD541,372.38,166.2,25.0,1415.04,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0285,2025-07-29,REC00285,2025-08-16,76,76,76,Yes
INV00286,99613.77,2025-01-25,2025-01-25,V101,Global Tech Parts,PROD895,351.54,127.95,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0286,2025-01-11,REC00286,2025-01-30,283,283,283,Yes
INV00287,69407.98,2025-09-24,2025-09-24,V103,Euro Wheels,PROD521,199.88,334.43,25.0,3288.03,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0287,2025-09-10,REC00287,2025-09-30,329,329,329,No
INV00288,194374.51,2025-01-15,2025-01-15,V101,Global Tech Parts,PROD889,496.57,215.64,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0288,2025-01-04,REC00288,2025-01-18,391,391,391,Yes
INV00289,48646.03,2025-10-22,2025-10-22,V101,Global Tech Parts,PROD382,138.69,243.22,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0289,2025-10-16,REC00289,2025-10-27,349,349,349,Yes
INV00290,71411.79,2025-01-22,2025-01-22,V102,Asia Motors,PROD348,444.05,50.16,25.0,3396.98,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0290,2025-01-16,REC00290,2025-01-25,153,153,153,Yes
INV00291,42156.06,2025-04-21,2025-04-21,V103,Euro Wheels,PROD406,143.16,192.34,25.0,1997.08,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0291,2025-04-11,REC00291,2025-04-25,279,279,279,No
INV00292,109001.43,2025-07-09,2025-07-09,V103,Euro Wheels,PROD789,372.22,325.41,25.0,5173.86,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0292,2025-06-24,REC00292,2025-07-13,278,278,278,No
INV00293,35762.73,2025-06-14,2025-06-14,V102,Asia Motors,PROD307,200.63,346.6,25.0,1685.29,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0293,2025-06-05,REC00293,2025-06-20,168,168,168,Yes
INV00294,234513.45,2025-09-23,2025-09-23,V102,Asia Motors,PROD970,498.09,186.91,25.0,11157.22,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0294,2025-09-10,REC00294,2025-09-28,448,448,448,No
INV00295,30421.07,2025-11-13,2025-11-13,V102,Asia Motors,PROD928,357.41,373.63,25.0,1429.64,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0295,2025-11-07,REC00295,2025-11-16,80,80,80,Yes
INV00296,111792.47,2025-08-09,2025-08-09,V103,Euro Wheels,PROD343,449.29,433.41,25.0,5301.62,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0296,2025-07-25,REC00296,2025-08-16,236,236,236,No
INV00297,41966.11,2025-05-09,2025-05-09,V101,Global Tech Parts,PROD613,105.63,242.26,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0297,2025-04-25,REC00297,2025-05-16,395,395,395,Yes
INV00298,20501.47,2025-07-31,2025-07-31,V104,China Auto,PROD659,113.12,284.55,25.0,961.52,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0298,2025-07-26,REC00298,2025-08-02,170,170,170,No
INV00299,79912.52,2025-04-21,2025-04-21,V103,Euro Wheels,PROD572,224.01,151.16,25.0,3796.97,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0299,2025-04-12,REC00299,2025-04-25,339,339,339,No
INV00300,73443.13,2025-08-04,2025-08-04,V101,Global Tech Parts,PROD379,255.7,57.23,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0300,2025-07-20,REC00300,2025-08-09,287,287,287,Yes
INV00301,46871.78,2025-12-31,2025-12-31,V103,Euro Wheels,PROD934,463.73,102.8,25.0,2225.9,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0301,2025-12-17,REC00301,2026-01-05,96,96,96,Yes
INV00302,103350.0,2025-08-07,2025-08-07,V103,Euro Wheels,PROD805,448.34,229.22,25.0,4909.32,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0302,2025-07-25,REC00302,2025-08-14,219,219,219,No
INV00303,61810.65,2025-06-28,2025-06-28,V102,Asia Motors,PROD117,208.22,131.71,25.0,2935.9,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0303,2025-06-13,REC00303,2025-07-05,282,282,282,No
INV00304,227757.16,2025-01-12,2025-01-12,V102,Asia Motors,PROD889,447.97,73.81,25.0,10840.87,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0304,2025-01-07,REC00304,2025-01-15,484,484,484,No
INV00305,8767.46,2025-01-30,2025-01-30,V101,Global Tech Parts,PROD923,377.04,472.58,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0305,2025-01-15,REC00305,2025-02-06,22,22,22,Yes
INV00306,24570.84,2025-05-29,2025-05-29,V102,Asia Motors,PROD976,270.12,437.63,25.0,1148.01,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0306,2025-05-18,REC00306,2025-05-31,85,85,85,No
INV00307,36950.36,2025-12-02,2025-12-02,V104,China Auto,PROD513,264.37,283.68,25.0,1744.84,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0307,2025-11-23,REC00307,2025-12-08,132,132,132,No
INV00308,89515.51,2025-09-22,2025-09-22,V101,Global Tech Parts,PROD838,477.43,236.1,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0308,2025-09-15,REC00308,2025-09-25,187,187,187,Yes
INV00309,141071.42,2025-12-03,2025-12-03,V103,Euro Wheels,PROD381,313.24,276.36,25.0,6703.34,Germany,5,Net 60,FOB Destination,123 Germany Blvd,PO0309,2025-11-28,REC00309,2025-12-06,428,428,428,Yes
INV00310,46812.91,2025-05-23,2025-05-23,V102,Asia Motors,PROD560,302.01,489.78,25.0,2204.67,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0310,2025-05-14,REC00310,2025-05-25,146,146,146,No
INV00311,10642.47,2025-07-09,2025-07-09,V102,Asia Motors,PROD188,63.27,120.98,25.0,499.83,Japan,4,Net 45,FOB Shipping Point,123 Japan Blvd,PO0311,2025-06-24,REC00311,2025-07-14,158,158,158,Yes
INV00312,90583.04,2025-11-10,2025-11-10,V104,China Auto,PROD748,293.14,65.72,25.0,4309.16,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0312,2025-10-26,REC00312,2025-11-14,294,294,294,Yes
INV00313,77291.23,2025-03-31,2025-03-31,V104,China Auto,PROD721,200.94,466.96,25.0,3657.11,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0313,2025-03-17,REC00313,2025-04-05,364,364,364,Yes
INV00314,110186.86,2025-07-20,2025-07-20,V103,Euro Wheels,PROD910,301.0,176.46,25.0,5237.4,Germany,2,Net 60,FOB Destination,123 Germany Blvd,PO0314,2025-07-08,REC00314,2025-07-26,348,348,348,No
INV00315,2823.61,2025-03-16,2025-03-16,V104,China Auto,PROD910,132.34,297.38,25.0,119.11,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0315,2025-03-01,REC00315,2025-03-20,18,18,18,Yes
INV00316,41573.94,2025-10-29,2025-10-29,V104,China Auto,PROD167,224.77,483.46,25.0,1955.5,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0316,2025-10-23,REC00316,2025-11-01,174,174,174,Yes
INV00317,28016.92,2025-01-22,2025-01-22,V103,Euro Wheels,PROD758,101.81,411.59,25.0,1313.35,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0317,2025-01-13,REC00317,2025-01-25,258,258,258,Yes
INV00318,9242.35,2025-09-04,2025-09-04,V101,Global Tech Parts,PROD376,31.86,448.99,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0318,2025-08-27,REC00318,2025-09-10,276,276,276,No
INV00319,58332.73,2025-05-03,2025-05-03,V104,China Auto,PROD848,333.81,124.65,25.0,2770.62,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0319,2025-04-23,REC00319,2025-05-07,166,166,166,Yes
INV00320,167502.19,2025-03-01,2025-03-01,V101,Global Tech Parts,PROD569,379.93,332.99,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0320,2025-02-24,REC00320,2025-03-05,440,440,440,Yes
INV00321,122515.77,2025-12-11,2025-12-11,V102,Asia Motors,PROD101,354.19,135.83,25.0,5826.43,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0321,2025-11-27,REC00321,2025-12-13,329,329,329,Yes
INV00322,48369.84,2025-06-16,2025-06-16,V101,Global Tech Parts,PROD564,231.94,358.26,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0322,2025-06-02,REC00322,2025-06-18,207,207,207,No
INV00323,2249.17,2025-06-02,2025-06-02,V104,China Auto,PROD485,30.46,369.16,25.0,88.33,China,2,Net 30,FOB Shipping Point,123 China Blvd,PO0323,2025-05-27,REC00323,2025-06-05,58,58,58,No
INV00324,13020.57,2025-04-26,2025-04-26,V102,Asia Motors,PROD221,128.49,448.52,25.0,597.48,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0324,2025-04-20,REC00324,2025-04-30,93,93,93,No
INV00325,15093.73,2025-02-04,2025-02-04,V103,Euro Wheels,PROD625,203.04,145.29,25.0,710.64,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0325,2025-01-26,REC00325,2025-02-08,70,70,70,Yes
INV00326,114222.52,2025-04-16,2025-04-16,V101,Global Tech Parts,PROD519,281.13,83.74,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0326,2025-04-10,REC00326,2025-04-18,406,406,406,Yes
INV00327,54385.34,2025-09-22,2025-09-22,V103,Euro Wheels,PROD441,267.44,444.44,25.0,2567.42,Germany,3,Net 60,FOB Destination,123 Germany Blvd,PO0327,2025-09-10,REC00327,2025-09-25,192,192,192,Yes
INV00328,28906.83,2025-02-03,2025-02-03,V102,Asia Motors,PROD423,307.66,131.0,25.0,1369.09,Japan,1,Net 45,FOB Shipping Point,123 Japan Blvd,PO0328,2025-01-28,REC00328,2025-02-05,89,89,89,No
INV00329,86400.66,2025-01-23,2025-01-23,V102,Asia Motors,PROD265,256.64,414.09,25.0,4093.41,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0329,2025-01-09,REC00329,2025-01-27,319,319,319,No
INV00330,190165.56,2025-08-30,2025-08-30,V101,Global Tech Parts,PROD103,433.58,257.52,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0330,2025-08-24,REC00330,2025-09-02,438,438,438,No
INV00331,122626.7,2025-11-20,2025-11-20,V102,Asia Motors,PROD395,446.65,197.27,25.0,5828.78,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0331,2025-11-15,REC00331,2025-11-27,261,261,261,Yes
INV00332,25404.46,2025-12-04,2025-12-04,V101,Global Tech Parts,PROD408,186.65,393.36,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0332,2025-11-29,REC00332,2025-12-08,134,134,134,Yes
INV00333,65417.83,2025-08-29,2025-08-29,V101,Global Tech Parts,PROD657,275.56,385.67,0.0,0.0,USA,2,Net 30,FOB Destination,123 USA Blvd,PO0333,2025-08-24,REC00333,2025-09-05,236,236,236,No
INV00334,37411.75,2025-04-20,2025-04-20,V102,Asia Motors,PROD670,251.77,376.56,25.0,1762.39,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0334,2025-04-08,REC00334,2025-04-22,140,140,140,Yes
INV00335,51591.81,2025-08-24,2025-08-24,V104,China Auto,PROD178,180.69,341.19,25.0,2439.32,China,5,Net 30,FOB Shipping Point,123 China Blvd,PO0335,2025-08-18,REC00335,2025-08-26,270,270,270,Yes
INV00336,167832.98,2025-10-07,2025-10-07,V104,China Auto,PROD810,344.02,201.44,25.0,7981.26,China,4,Net 30,FOB Shipping Point,123 China Blvd,PO0336,2025-09-26,REC00336,2025-10-10,464,464,464,Yes
INV00337,177481.37,2025-02-09,2025-02-09,V101,Global Tech Parts,PROD751,417.99,253.61,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0337,2025-02-02,REC00337,2025-02-11,424,424,424,No
INV00338,14165.32,2025-05-22,2025-05-22,V102,Asia Motors,PROD414,315.62,221.48,25.0,662.8,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0338,2025-05-07,REC00338,2025-05-25,42,42,42,Yes
INV00339,88317.1,2025-12-28,2025-12-28,V101,Global Tech Parts,PROD815,283.49,435.2,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0339,2025-12-20,REC00339,2026-01-04,310,310,310,No
INV00340,38126.19,2025-11-08,2025-11-08,V102,Asia Motors,PROD174,344.41,129.99,25.0,1808.15,Japan,5,Net 45,FOB Shipping Point,123 Japan Blvd,PO0340,2025-11-03,REC00340,2025-11-15,105,105,105,Yes
INV00341,37864.66,2025-03-18,2025-03-18,V102,Asia Motors,PROD180,356.15,443.91,25.0,1780.75,Japan,2,Net 45,FOB Shipping Point,123 Japan Blvd,PO0341,2025-03-07,REC00341,2025-03-23,100,100,100,No
INV00342,126379.47,2025-03-26,2025-03-26,V103,Euro Wheels,PROD295,305.85,466.61,25.0,5994.66,Germany,4,Net 60,FOB Destination,123 Germany Blvd,PO0342,2025-03-11,REC00342,2025-03-28,392,392,392,Yes
INV00343,7366.03,2025-06-30,2025-06-30,V101,Global Tech Parts,PROD722,447.25,210.03,0.0,0.0,USA,5,Net 30,FOB Destination,123 USA Blvd,PO0343,2025-06-24,REC00343,2025-07-03,16,16,16,Yes
INV00344,45861.09,2025-12-29,2025-12-29,V101,Global Tech Parts,PROD704,114.94,114.97,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0344,2025-12-14,REC00344,2026-01-01,398,398,398,Yes
INV00345,7804.41,2025-12-23,2025-12-23,V101,Global Tech Parts,PROD535,27.07,62.39,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0345,2025-12-13,REC00345,2025-12-27,286,286,286,Yes
INV00346,69704.29,2025-05-12,2025-05-12,V103,Euro Wheels,PROD844,297.45,343.7,25.0,3301.69,Germany,1,Net 60,FOB Destination,123 Germany Blvd,PO0346,2025-05-05,REC00346,2025-05-17,222,222,222,No
INV00347,34473.26,2025-10-21,2025-10-21,V101,Global Tech Parts,PROD566,80.37,396.38,0.0,0.0,USA,4,Net 30,FOB Destination,123 USA Blvd,PO0347,2025-10-11,REC00347,2025-10-24,424,424,424,Yes
INV00348,86515.53,2025-08-02,2025-08-02,V101,Global Tech Parts,PROD653,401.88,111.33,0.0,0.0,USA,1,Net 30,FOB Destination,123 USA Blvd,PO0348,2025-07-25,REC00348,2025-08-05,215,215,215,No
INV00349,65934.65,2025-05-02,2025-05-02,V104,China Auto,PROD553,281.6,268.69,25.0,3125.76,China,1,Net 30,FOB Shipping Point,123 China Blvd,PO0349,2025-04-24,REC00349,2025-05-09,222,222,222,No
INV00350,156245.64,2025-01-28,2025-01-28,V104,China Auto,PROD415,397.19,244.13,25.0,7427.45,China,3,Net 30,FOB Shipping Point,123 China Blvd,PO0350,2025-01-22,REC00350,2025-02-01,374,374,374,Yes
INV00351,143799.56,2026-01-04,2026-01-04,V101,Global Tech Parts,PROD376,475.8,107.96,0.0,0.0,USA,3,Net 30,FOB Destination,123 USA Blvd,PO0351,2025-12-27,REC00351,2026-01-10,302,302,302,Yes
INV00352,91460.79,2025-11-04,2025-11-04,V102,Asia Motors,PROD624,437.57,464.99,25.0,4331.94,Japan,3,Net 45,FOB Shipping Point,123 Japan Blvd,PO0352,2025-10-21,REC00352,2025-11-07,198,198,198,Yes
